Title,Processed_Text,Topic
Artificial Intelligence Convergence Teaching Expertise Scale for  Pre-service Teachers in Korea: A Validity and Reliability Study,artificial intelligence convergence teaching expertise scale preservice teachers korea validity reliability study,-1
Generative AI-Powered Synthetic Data for Enhancing Predictive Analytics in Blood Donation Supply Management: A Comparative Study of Machine Learning Models,generative aipowered synthetic data enhancing predictive analytics blood donation supply management comparative study machine learning models,0
Experimental Investigation of Zigzag Height Variation on the Concave Blade Surface and Its Impact on Savonius Rotor Performance,experimental investigation zigzag height variation concave blade surface impact savonius rotor performance,-1
Machine Learning-Driven Insights for Optimizing Ship Fuel Consumption: Predictive Modeling and Operational Efficiency,machine learningdriven insights optimizing ship fuel consumption predictive modeling operational efficiency,0
Evaluating Machine Learning Models for Optimal Livestock Environment Prediction in Smart Farming Applications to Enhance Food Security,evaluating machine learning models optimal livestock environment prediction smart farming applications enhance food security,0
Machine Learning Classifies Data for Early Warning of Stuck Pipe Detection in Geothermal Drilling,machine learning classifies data early warning stuck pipe detection geothermal drilling,0
Evaluating Machine Learning and Deep Learning Algorithms for Predictive Maintenance of Hydraulic Systems,evaluating machine learning deep learning algorithms predictive maintenance hydraulic systems,0
Human Detection System Using Machine Learning to Calculate Crowd Potential,human detection system using machine learning calculate crowd potential,0
Realistic Mathematics Education in Digital Era Elementary Schools: A Systematic Literature Review,realistic mathematics education digital era elementary schools systematic literature review,-1
Computational Investigation on the Fatigue Behavior of Titanium Alloy Ti-6Al-2Sn-4Zr-2Mo under Dynamic Loads by Consideration of Ambient Temperature,computational investigation fatigue behavior titanium alloy tialsnzrmo dynamic loads consideration ambient temperature,-1
Performance of Paving Block Using Geopolymer Method with Slag and Fly Ash: A Review,performance paving block using geopolymer method slag fly ash review,0
"Mercury Exposure Impact to The Environment and Community Health from Artisanal and Small-Scale Gold Mining in North Musi Rawas District, South Sumatra Province, Indonesia",mercury exposure impact environment community health artisanal smallscale gold mining north musi rawas district south sumatra province indonesia,1
Thermal Comfort Quality Monitoring and Controlling using Fuzzy Inference System Based on IoT Technology,thermal comfort quality monitoring controlling using fuzzy inference system based iot technology,0
Optimization of Lubricant Oil Filling and Packaging Lines: A Simulation-Based Automation Approach,optimization lubricant oil filling packaging lines simulationbased automation approach,0
